trajectory_id,family,dimension,rtol,decision_accepted_step,target_attempt_index,target_accepted_steps_before,t_start,h,target_r_error_norm,zeta23,zeta34,relative_drift,stage_log_curvature_kappa234,remainder_chi34,rho2,rho3,rho4,audit_full_e_total_error,audit_full_e_locally_admissible,unsafe,actual_prefix_jvp_vectors
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,69,77,70,0.5368809074143731,0.002971966278183983,0.14037237440720873,31.7507564681563,41.76213448212128,0.1361853395309463,0.03847729151897705,0.9994860717727767,77.43768068590128,240.43238776503398,642.782579716464,0.24857532901097423,True,False,15
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,87,95,88,0.6055673132047561,0.005172354356271414,0.09386330279220381,105.55429075003107,95.10652775223483,-0.05206678152605198,-0.3680556662460126,0.9992965514699703,119.56229261670117,439.39000176896263,1067.1635028642838,0.11558687015019088,True,False,15
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,95,103,96,0.6530207617808661,0.007114698931966441,0.08394761431660028,34.55409972898684,54.67180574843306,0.22546934000616375,-0.017456753263787705,0.999863361919015,180.7830456367912,710.3358758680871,2243.7641926775545,0.37645968743102454,True,False,15
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,110,118,111,0.7766377273628609,0.008261453986566476,0.1601858334118099,212.86624506278673,341.810649476644,0.23246759633087782,-0.022719075371017805,0.9996618336391945,234.26972473786188,914.4489001603489,2863.531427719533,0.6442297200206675,True,False,15
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,133,141,134,0.9811337527307237,0.008406653856797182,0.18052767309034534,127.83374864580007,207.1721763977227,0.2368269389313495,-0.024442165492826406,0.9997255068369096,256.97489724449304,1007.5417137810709,3163.745401979619,0.7353262139081987,True,False,14
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,10,15,11,0.33245054265374946,0.009838095523094028,0.6716167018924214,110.95371256288655,197.07774515268272,0.27959492588358154,0.05209248643174247,0.9995852373055164,172.89458548290156,717.1719277251651,2470.8653073901837,5.841733184291287,False,True,19
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,45,53,46,0.4325099110161706,0.0014735712740100416,0.20741814462533334,92.15202159366648,91.21783325475778,-0.005094557879652076,0.011165963397647305,0.9993195912166274,212.8189156539491,538.5959777899461,1191.4358501355737,0.2332574189192518,True,False,17
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,51,59,52,0.4411437685291044,0.0014144000141194343,0.16997055971898578,87.31051301272952,94.05567866304031,0.03719086555210464,0.20989763989012822,0.999845423646711,248.54990186718055,619.7736058437775,1521.6538384604687,0.1504971146815555,True,False,17
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,63,71,64,0.4578585529238527,0.0013502878191107846,0.171138460224471,71.56997198408783,89.17384747443955,0.10951510017399832,0.0843375269738198,0.9996950277998269,184.1174042802179,516.9930855989605,1303.9082322673564,0.1464005191070944,True,False,19
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,79,87,80,0.4789245507173734,0.001251953322790326,0.1717926661693847,10.181546650451851,16.19615241436434,0.22801859059553276,-0.01862239992887793,0.9999439298869258,82.98767352765678,326.07981427475556,1029.3034906397424,0.08525068919180759,True,False,19
