profile,family,dimension,rtol,decision_accepted_step,target_attempt_index,t_start,h,zeta34,full_e_total_error,full_e_locally_admissible,target_rjf_jvp_vectors,prefix_jvp_vectors,continuation_jvp_vectors,full_e_jvp_vectors,prefix_over_target_rjf_jvp,continuation_over_target_rjf_jvp,full_e_over_target_rjf_jvp,continuation_over_prefix_jvp,source_file,source_sha256
N320,robertson-ramped,320,1e-05,19,22,0.07213581771953449,0.009180693091770544,2.5623995562644484,0.017517599696653313,True,118,21,12,33,0.17796610169491525,0.1016949152542373,0.2796610169491525,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/robertson.json,0ee260609290f291f8cfd27b8145a9a79b203fd8be48b97a8cfe214336af411e
N320,rotating-nonnormal,320,1e-05,8,10,0.2197208999909338,0.019910480537915443,0.8463333949491212,0.04898448850369891,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/rotating-nonnormal.json,25b7c1e6eb524e6cc72a586b77982a2034708bad543f8f2158aed7edbee63eda
N320,rotating-nonnormal,320,1e-05,22,24,0.4643551392973276,0.010835279292572669,7.753442039939508,0.37175783542943125,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/rotating-nonnormal.json,25b7c1e6eb524e6cc72a586b77982a2034708bad543f8f2158aed7edbee63eda
N320,rotating-nonnormal,320,1e-05,36,38,0.5947468656332581,0.007259125911877144,2.3747382497502745,0.3985454875357924,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/rotating-nonnormal.json,25b7c1e6eb524e6cc72a586b77982a2034708bad543f8f2158aed7edbee63eda
N320,rotating-nonnormal,320,1e-05,45,47,0.6507456137681894,0.005446129486209717,0.7841619415188904,0.18319926139201193,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/rotating-nonnormal.json,25b7c1e6eb524e6cc72a586b77982a2034708bad543f8f2158aed7edbee63eda
N320,rotating-nonnormal,320,1e-05,70,72,0.8129631869008255,0.006930162459846921,0.8281525786491976,0.15326730032581287,True,142,21,14,35,0.14788732394366197,0.09859154929577464,0.24647887323943662,0.6666666666666666,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/rotating-nonnormal.json,25b7c1e6eb524e6cc72a586b77982a2034708bad543f8f2158aed7edbee63eda
N320,rotating-nonnormal,320,1e-05,97,99,0.9918484036744527,0.00535867662620481,1.6766264280119694,0.09902283441369956,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/rotating-nonnormal.json,25b7c1e6eb524e6cc72a586b77982a2034708bad543f8f2158aed7edbee63eda
N320,semilinear-advection-diffusion-ramped,320,1e-05,17,21,0.7405117903015672,0.017373158261348484,0.1051324014310088,0.012777703233792648,True,847,45,48,93,0.053128689492325853,0.05667060212514758,0.10979929161747344,1.0666666666666667,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/semilinear.json,8fc86afe199527a14440c763b8579d45dc1969ad055e8b79d216323ecf55056e
N320,van-der-pol-ramped,320,1e-05,4,7,0.08261296422541814,0.018741121828243633,0.5908084407708935,0.0034141722476930757,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/van-der-pol.json,975fc7ffe13fcb50adc62768b4edb5e7491b675a23c510b2a7dfa341c483617c
N320,van-der-pol-ramped,320,1e-05,26,31,0.45526817060457603,0.005467615322572129,5.756521814990548,0.40433402677389524,True,142,21,8,29,0.14788732394366197,0.056338028169014086,0.20422535211267606,0.38095238095238093,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/van-der-pol.json,975fc7ffe13fcb50adc62768b4edb5e7491b675a23c510b2a7dfa341c483617c
N384,hires-ramped,384,7e-06,4,6,0.19952688423184364,0.04762718334630537,2.9010630033635603,0.22569359349914067,True,86,21,12,33,0.2441860465116279,0.13953488372093023,0.38372093023255816,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/hires.json,facbf600969f444b58159c23c696ae1d7fcd5c44ed04db8056c73740875924e7
N384,hires-ramped,384,7e-06,16,19,0.682447828368182,0.03464684958009534,3.3075993284883687,0.1382064842271022,True,86,21,12,33,0.2441860465116279,0.13953488372093023,0.38372093023255816,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/hires.json,facbf600969f444b58159c23c696ae1d7fcd5c44ed04db8056c73740875924e7
N384,robertson-ramped,384,7e-06,7,9,0.011998697339383451,0.0031398020393547774,0.6358868158204697,0.018033360009158752,True,118,19,12,31,0.16101694915254236,0.1016949152542373,0.2627118644067797,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/robertson.json,52f7b090816735c2d183bf19caca722e4c7e2a1dc50cc65d62a6461f2e5da274
N384,robertson-ramped,384,7e-06,16,18,0.052245285437752094,0.00442976111454582,10.21195066472306,0.12691372741831813,True,118,21,12,33,0.17796610169491525,0.1016949152542373,0.2796610169491525,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/robertson.json,52f7b090816735c2d183bf19caca722e4c7e2a1dc50cc65d62a6461f2e5da274
N384,rotating-nonnormal,384,7e-06,8,10,0.20646612367779205,0.018653324349767225,0.7880284686918143,0.05898227075879912,True,142,17,12,29,0.11971830985915492,0.08450704225352113,0.20422535211267606,0.7058823529411765,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,rotating-nonnormal,384,7e-06,23,25,0.4570948821058035,0.010407292601574887,10.899478597759002,0.3818483127188819,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,rotating-nonnormal,384,7e-06,33,35,0.550795974213876,0.007671496904377421,4.774451990085094,0.5351470432940179,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,rotating-nonnormal,384,7e-06,38,40,0.5868561635012456,0.0066334435195868,2.1786983102104704,0.3494402542175393,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,rotating-nonnormal,384,7e-06,48,50,0.6446583375122418,0.004875453555287326,0.9070756273009415,0.18540525862199878,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,rotating-nonnormal,384,7e-06,76,78,0.8109124444663471,0.006279397911760167,0.779063301556014,0.14642793398877801,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,rotating-nonnormal,384,7e-06,105,107,0.9873564824971068,0.004848132178982557,1.9033598560085379,0.09253043845401555,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/rotating-nonnormal.json,5cbfd3ba457355c4b31ed9f3c440f4d693e5542771336f608ea4d97e342a4b47
N384,semilinear-advection-diffusion-ramped,384,7e-06,19,23,0.7753029384521457,0.02237735944374595,0.15934057140039393,0.009999513733720612,True,1309,65,140,205,0.04965622612681436,0.10695187165775401,0.15660809778456838,2.1538461538461537,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/semilinear.json,d86c01602fce05dde9b713d0a4fe3a300ed8cbcbdc7d23d5f879f25b2a9361ed
N384,van-der-pol-ramped,384,7e-06,4,7,0.07638941811394154,0.0170750628081399,0.560333598134638,0.0010445613747569874,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/van-der-pol.json,ba82d68247305af57c31e9ccdd3dc6f6a2d5ab5c4f66b530d64642f8c9067b57
N384,van-der-pol-ramped,384,7e-06,29,36,0.4597975107261256,0.004479960281297128,3.7277239550693873,0.23587940165856053,True,142,21,8,29,0.14788732394366197,0.056338028169014086,0.20422535211267606,0.38095238095238093,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/van-der-pol.json,ba82d68247305af57c31e9ccdd3dc6f6a2d5ab5c4f66b530d64642f8c9067b57
N384,van-der-pol-ramped,384,7e-06,69,76,0.9535475344433295,0.046452465556670486,0.6776176679774507,0.0015689143196006413,True,142,19,16,35,0.13380281690140844,0.11267605633802817,0.24647887323943662,0.8421052631578947,research/generic_enforced_prefix_budget_v35/results/consumed_replay/holdout384/van-der-pol.json,ba82d68247305af57c31e9ccdd3dc6f6a2d5ab5c4f66b530d64642f8c9067b57
N96,hires-ramped,96,3e-06,4,6,0.17371069386572993,0.0392162023416084,1.137581835525021,0.08190510530427424,True,86,21,12,33,0.2441860465116279,0.13953488372093023,0.38372093023255816,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/hires.json,e0f8bd272c92ac215a90b1ea750ee78135280f6b9a54a122bb344f748ed062e0
N96,hires-ramped,96,3e-06,17,19,0.6462670789904085,0.02702980374856127,6.23416012548466,0.20406458303012415,True,86,21,12,33,0.2441860465116279,0.13953488372093023,0.38372093023255816,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/hires.json,e0f8bd272c92ac215a90b1ea750ee78135280f6b9a54a122bb344f748ed062e0
N96,robertson-ramped,96,3e-06,7,9,0.010392888877781148,0.002481120643203186,0.3206007230736222,0.02157318069048089,True,118,19,12,31,0.16101694915254236,0.1016949152542373,0.2627118644067797,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/robertson.json,8e37b4cc6fb3c1b398df7899ee65e7736bb6fda6f318334c454dfe7bc9704735
N96,robertson-ramped,96,3e-06,21,24,0.06440187214370843,0.005988494210101368,8.754571940929326,0.0821195549740648,True,118,23,12,35,0.19491525423728814,0.1016949152542373,0.2966101694915254,0.5217391304347826,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/robertson.json,8e37b4cc6fb3c1b398df7899ee65e7736bb6fda6f318334c454dfe7bc9704735
N96,rotating-nonnormal,96,3e-06,9,11,0.19411407405046793,0.01573045394904924,0.7770010569811382,0.06614569409422703,True,142,17,12,29,0.11971830985915492,0.08450704225352113,0.20422535211267606,0.7058823529411765,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/rotating-nonnormal.json,ef870ff08cbb77833fc770d8601b8ee8f225d797a7fa8da27e13fe5b59a355e8
N96,rotating-nonnormal,96,3e-06,39,41,0.5444815465328785,0.005698562784895704,3.915005576814972,0.3000131267757651,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/rotating-nonnormal.json,ef870ff08cbb77833fc770d8601b8ee8f225d797a7fa8da27e13fe5b59a355e8
N96,rotating-nonnormal,96,3e-06,59,61,0.6436421788159089,0.0039591495130095414,1.004037703992357,0.17171523697191207,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/rotating-nonnormal.json,ef870ff08cbb77833fc770d8601b8ee8f225d797a7fa8da27e13fe5b59a355e8
N96,rotating-nonnormal,96,3e-06,92,94,0.8058257544933122,0.004859961352970985,0.6320276902265786,0.12201707715848431,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/rotating-nonnormal.json,ef870ff08cbb77833fc770d8601b8ee8f225d797a7fa8da27e13fe5b59a355e8
N96,rotating-nonnormal,96,3e-06,128,130,0.9841969809629966,0.0038819118888389547,2.042383913398284,0.08344886216233761,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/rotating-nonnormal.json,ef870ff08cbb77833fc770d8601b8ee8f225d797a7fa8da27e13fe5b59a355e8
N96,semilinear-advection-diffusion-ramped,96,3e-06,19,23,0.7569562637411863,0.023149159121860347,0.4185349843073994,0.03130775917656676,True,484,31,24,55,0.0640495867768595,0.049586776859504134,0.11363636363636363,0.7741935483870968,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/semilinear.json,43386b7901f3754c819bae7cf3bbf2112d79ea18c2e236b855d9c400597146ee
N96,van-der-pol-ramped,96,3e-06,4,7,0.06353015251282892,0.01376568291560599,0.5593387933691755,0.0019965305149132733,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/van-der-pol.json,411a04f9dcc883d02d459cf2d8d2aab8622bc2bbe11f40a4203fad750bcb5bc9
N96,van-der-pol-ramped,96,3e-06,30,36,0.4188675913504136,0.004504958011531745,5.612184889585887,0.28044698739497553,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration96/van-der-pol.json,411a04f9dcc883d02d459cf2d8d2aab8622bc2bbe11f40a4203fad750bcb5bc9
